period,period_type,period_label,area_code,area_name,ind_pet,dom_pet,rail_pet,pub_adm_pet,comm_pet,agric_pet,ind_coal,dom_coal,rail_coal,pub_adm_coal,comm_coal,agric_coal,ind_man_sol_fuel,dom_man_sol_fuel,ind_bio_and_waste,dom_bio_and_waste,observation,measure,unit
2021-01-01t00-00-00/p1y,Calender year,2021,E07000196,South Staffordshire,8.5,3.0,1.3,0.0,0.1,3.3,1.3,0.2,0.0,0.0,0.0,0,0.1,0.2,4.0,1.5,23.6,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000197,Stafford,8.7,7.4,4.0,0.0,0.2,7.6,0.3,0.2,0.0,0.1,0.0,0,0.0,0.2,1.9,1.5,32.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000198,Staffordshire Moorlands,12.8,6.4,0.0,0.0,0.1,7.8,30.5,0.1,0.1,0.0,0.0,0,0.4,0.1,56.3,1.0,115.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000021,Stoke-on-Trent,18.2,0.6,0.5,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.0,0,0.6,0.2,1.2,1.4,23.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000221,Stratford-on-Avon,28.2,14.3,3.5,0.0,0.2,7.5,1.4,0.4,0.0,0.1,0.1,0,0.2,0.3,4.9,2.3,63.3,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000199,Tamworth,4.0,0.2,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.3,0.3,6.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000020,Telford and Wrekin,26.7,2.5,0.8,0.0,0.1,1.9,0.1,0.2,0.0,0.0,0.0,0,0.5,0.2,5.8,1.5,40.3,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E08000030,Walsall,14.2,0.6,0.5,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0,3.7,0.1,0.2,1.3,21.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000222,Warwick,9.9,3.1,3.9,0.0,0.2,1.7,0.1,0.1,0.0,0.0,0.0,0,0.1,0.1,0.9,0.8,20.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E08000031,Wolverhampton,14.5,0.6,1.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0,1.1,0.1,2.5,1.1,21.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000237,Worcester,4.8,0.3,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.3,0.4,7.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000238,Wychavon,9.9,10.3,4.7,0.0,0.1,5.0,1.2,0.3,0.0,0.1,0.0,0,1.4,0.2,6.2,1.5,41.0,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000239,Wyre Forest,9.6,2.5,1.0,0.0,0.1,1.3,0.7,0.2,0.2,0.0,0.0,0,0.2,0.2,0.9,1.1,17.8,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E12000005,West Midlands total,430.4,148.2,61.9,2.4,3.4,117.5,112.6,6.6,0.4,0.7,0.4,0,22.2,6.6,212.7,47.6,1173.7,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000200,Babergh,7.8,10.2,0.6,0.0,0.1,2.4,3.4,1.0,0.0,0.1,0.0,0,0.0,0.6,12.2,2.0,40.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000066,Basildon,12.7,0.7,0.0,0.0,0.2,0.5,1.4,0.6,0.0,0.0,0.0,0,0.3,0.4,5.8,1.9,24.6,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000055,Bedford,8.5,4.8,5.2,0.0,0.1,2.3,0.3,1.0,0.0,0.0,0.0,0,0.5,0.6,40.5,2.2,66.0,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000067,Braintree,13.4,8.8,0.6,0.0,0.1,2.5,2.5,1.4,0.0,0.1,0.0,0,0.5,0.8,9.7,3.0,43.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000143,Breckland,11.8,17.0,0.9,0.0,0.1,4.5,1.4,1.7,0.1,0.1,0.0,0,0.3,0.9,4.0,3.4,46.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000068,Brentwood,5.6,0.6,0.5,0.0,0.0,0.7,1.2,0.5,0.0,0.0,0.0,0,0.3,0.3,1.6,1.2,12.7,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000144,Broadland,7.5,8.5,0.8,0.0,0.1,2.5,20.7,1.4,0.3,0.0,0.0,0,0.0,0.8,16.9,2.9,62.3,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000095,Broxbourne,8.1,0.3,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0,0.1,0.1,1.9,0.7,11.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000008,Cambridge,3.6,0.3,0.3,0.1,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0,0.0,0.3,1.1,1.4,7.8,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000069,Castle Point,2.6,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0,0.0,0.3,0.8,1.2,5.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000056,Central Bedfordshire,24.2,6.7,6.8,0.0,0.2,3.5,3.1,1.9,0.0,0.1,0.1,0,0.1,1.1,11.9,4.1,63.7,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000070,Chelmsford,10.7,5.9,0.6,0.0,0.1,1.5,2.4,1.1,0.0,0.1,0.0,0,0.2,0.6,9.5,2.6,35.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000071,Colchester,9.8,6.6,0.6,0.0,0.1,1.4,1.5,1.3,0.0,0.1,0.1,0,0.1,0.7,5.9,2.8,30.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000096,Dacorum,3.7,1.6,1.7,0.0,0.3,1.1,0.3,0.6,0.0,0.0,0.0,0,0.0,0.4,1.1,1.6,12.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000009,East Cambridgeshire,4.6,8.3,2.8,0.0,0.1,2.5,4.1,1.2,0.0,0.0,0.0,0,0.0,0.6,3.7,2.2,30.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000242,East Hertfordshire,13.7,5.0,0.3,0.0,0.3,2.3,1.7,0.8,0.0,0.1,0.0,0,0.3,0.4,7.4,1.8,34.1,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000244,East Suffolk,17.4,13.3,1.7,0.0,0.2,4.8,19.3,2.1,0.0,0.1,0.1,0,0.0,1.2,78.9,4.6,143.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000072,Epping Forest,3.9,3.0,0.0,0.0,0.1,1.3,0.6,0.8,0.1,0.0,0.0,0,0.1,0.5,2.2,2.0,14.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000010,Fenland,10.1,5.7,2.4,0.0,0.1,2.1,3.8,0.8,0.0,0.0,0.0,0,0.1,0.4,10.0,1.8,37.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000145,Great Yarmouth,3.8,6.5,0.1,0.0,0.1,0.9,0.0,0.9,0.0,0.0,0.0,0,0.0,0.5,0.2,2.0,15.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000073,Harlow,4.9,0.2,0.0,0.0,0.1,0.1,0.4,0.3,0.0,0.0,0.0,0,0.0,0.2,9.1,0.9,16.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000098,Hertsmere,9.4,0.5,1.6,0.0,0.1,0.4,0.5,0.5,0.0,0.0,0.0,0,0.0,0.3,1.2,1.2,15.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000011,Huntingdonshire,15.0,7.6,4.1,0.0,0.4,3.4,4.3,1.5,0.0,0.1,0.1,0,0.0,0.8,15.6,3.0,55.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000202,Ipswich,4.7,0.4,1.1,0.0,0.1,0.1,2.2,0.7,0.0,0.1,0.0,0,0.1,0.4,6.6,2.1,18.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000146,King's Lynn and West Norfolk,12.5,22.2,0.1,0.7,0.1,5.8,5.4,1.4,0.0,0.1,0.0,0,0.1,0.8,3.5,2.8,55.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000032,Luton,13.3,0.4,1.6,0.0,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0,0.0,0.2,0.1,1.3,17.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000074,Maldon,5.9,6.7,0.0,0.0,0.1,1.9,0.9,0.6,0.0,0.0,0.0,0,0.0,0.3,3.5,1.2,21.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000203,Mid Suffolk,14.9,16.9,2.0,0.1,0.1,3.4,1.2,1.2,0.0,0.1,0.0,0,0.1,0.6,3.0,2.2,45.7,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000099,North Hertfordshire,7.5,3.5,1.1,0.0,0.1,2.0,0.1,0.7,0.0,0.0,0.0,0,1.0,0.4,1.1,1.8,19.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000147,North Norfolk,7.9,16.2,0.2,0.0,0.1,4.4,0.1,1.4,0.1,0.1,0.0,0,0.0,0.7,0.5,2.5,34.2,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000148,Norwich,8.2,0.4,0.2,0.0,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0,0.1,0.4,0.6,1.7,12.3,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000031,Peterborough,12.2,2.9,3.4,0.0,0.1,1.1,0.0,0.9,0.1,0.0,0.0,0,0.1,0.5,3.4,2.4,27.1,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000075,Rochford,3.4,0.7,0.0,0.0,0.0,0.9,0.3,0.4,0.0,0.0,0.0,0,0.1,0.2,1.6,1.1,8.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000012,South Cambridgeshire,15.1,13.8,1.0,0.0,0.1,3.8,0.8,1.6,0.0,0.1,0.0,0,0.1,0.9,2.6,3.0,42.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000149,South Norfolk,13.4,18.0,0.7,0.0,0.1,4.4,2.9,1.4,0.0,0.2,0.1,0,0.1,0.7,3.3,2.6,47.9,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000033,Southend-on-Sea,4.3,0.3,0.0,0.0,0.1,0.1,1.9,0.8,0.0,0.1,0.0,0,0.1,0.5,8.1,2.1,18.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000240,St Albans,4.1,0.8,3.1,0.0,0.1,0.7,0.1,0.6,0.0,0.0,0.0,0,0.1,0.4,0.8,1.6,12.5,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000243,Stevenage,4.8,0.2,0.6,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0,0.0,0.1,0.1,0.4,6.4,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000076,Tendring,9.4,4.2,0.4,0.0,0.1,1.3,1.9,1.2,0.0,0.0,0.0,0,0.1,0.7,8.0,2.7,30.1,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E07000102,Three Rivers,4.7,0.6,1.4,0.0,0.1,0.5,0.0,0.5,0.0,0.0,0.0,0,0.1,0.3,0.2,1.3,9.7,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
2021-01-01t00-00-00/p1y,Calender year,2021,E06000034,Thurrock,7.3,0.4,0.6,0.0,0.2,0.6,0.6,2.0,0.0,0.0,0.1,0,0.1,1.1,2.0,4.0,19.0,"Sub-national estimates of non-gas, non-electricity and non-road transport fuel consumption",thousand tonnes of oil equivalent
